,Price,Quantity,Link,Total,Extra Info
25V 100UF capacitors,$0.99,1 (40 pack),https://www.aliexpress.us/item/3256811445656016.html?spm=a2g0o.productlist.main.1.334f7d6agPWc9m&algo_pvid=8f7c50a7-f6b9-4eba-9013-b6af3bb842cd&algo_exp_id=8f7c50a7-f6b9-4eba-9013-b6af3bb842cd-0&pdp_ext_f=%7B%22order%22%3A%222536%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.81%210.99%21%21%2118.98%216.69%21%402101e80f17798365693793874e063c%2112000056427936765%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aec54bbbc%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262957&curPageLogUid=HMtMCpdzrivN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011631970768%7C_p_origin_prod%3A,$0.99,To level out the motor spikes and dips
300 Rival Rounds,$24.99,1 (300 count),https://www.amazon.com/POKONBOY-Rounds-Refill-Rival-Compatible/dp/B07RK6JGKN/ref=sr_1_4_sspa?sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,$24.59,The Ammo
"0.5"" hex shaft collars",$17.45,5 in total,https://wcproducts.com/products/clamping-shaft-collars ,$14.95,to keep the bearings from slipping out
"0.5"" hex bearings",11.96,4 in total,https://wcproducts.com/collections/cnc-hardware/products/ball-bearings ,$11.96,bearings
21MM 160 degrees camera,$0.99,1,https://www.aliexpress.us/item/3256803720134565.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.35.342b392dXBeFaC&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=ae23974b-1771-495f-98dc-6a9d4981fe61&_t=gps-id%3ApcDetailBottomMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3Aae23974b-1771-495f-98dc-6a9d4981fe61%2Ctpp_buckets%3A668%232846%238112%231997&isseo=y&pdp_ext_f=%7B%22order%22%3A%221404%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%215.22%210.99%21%21%215.22%210.99%21%402101df0e17811316559244579ef675%2112000027434861199%21rec%21US%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2b8e555d%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262936&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005003906449317%7C_p_origin_prod%3A ,$0.99,camera so we can cover a greater area visually
more bearings,$0.99,"20 (10x8,12,3.5)(10x15,21,4)",https://www.aliexpress.us/item/3256807482131308.html?spm=a2g0o.productlist.main.10.20bb42f3RsZXjC&algo_pvid=ae7ffd7e-190c-4eed-9bed-553fc5614a80&algo_exp_id=ae7ffd7e-190c-4eed-9bed-553fc5614a80-9&pdp_ext_f=%7B%22order%22%3A%2219477%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.56%210.99%21%21%2123.97%216.66%21%402101dedf17813801869876315ea2dd%2112000041725798020%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2b8e555d%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262942&curPageLogUid=qPF1uG5KvbMZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007668446060%7C_p_origin_prod%3A ,$0.99,more bearings
more of another type of bearing,,"5 (17,30,7)",https://www.aliexpress.us/item/3256805856699678.html?spm=a2g0o.productlist.main.38.20bb42f3JfYz64&aem_p4p_detail=202606141629198564202903091620000135831&algo_pvid=cb53fa48-cb2b-4862-95bb-deab1e8a18ca&algo_exp_id=cb53fa48-cb2b-4862-95bb-deab1e8a18ca-35&pdp_ext_f=%7B%22order%22%3A%221202%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.72%210.99%21%21%2151.97%216.65%21%40210325a917814797595582086e86c2%2112000049885758088%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2b8e555d%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262957&curPageLogUid=Jt1F8pvUO16M&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006043014430%7C_p_origin_prod%3A&search_p4p_id=202606141629198564202903091620000135831_9 ,$0.99,
hex shaft stock,$10.50,10 in,https://www.revrobotics.com/.5in-Rounded-Hex-Shafts/?searchid=5397175&search_query=hex ,$10.50,hex shaft for sturctural support and to drive some gears
hex couplers,$0.82,1 (4 pack,https://www.aliexpress.us/item/3256805517440779.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.8.5264ShAtShAtdo&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=44b24af5-488d-4e74-b2b2-a790eaabd913&_t=gps-id%3ApcDetailBottomMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A44b24af5-488d-4e74-b2b2-a790eaabd913%2Ctpp_buckets%3A668%232846%238111%231996&isseo=y&pdp_ext_f=%7B%22order%22%3A%22446%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%214.20%210.50%21%21%2128.30%213.40%21%402103117b17840854566667762e0d51%2112000034061812849%21rec%21US%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A48977e57%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005005703755531%7C_p_origin_prod%3A ,$0.82,it is the coupler that links our motors to the wheels
Aluminum sheet stock,21.99,1,https://www.amazon.com/ACXFOND-Aluminum-Thickness-Protective-Industry/dp/B0CG5DZCBL/ref=sr_1_5?adgrpid=193180835944&dib=eyJ2IjoiMSJ9.zrvSp49uKCQ_EtWupq_iy3aj0vOPa4yr4ABE8nQRNjGyFvFf9P9bH2GkbYSujxuO97xAmodJIDZH87SxjxAK3QtHIy2VjSrFns3X68nN7UD4lQ8q62Tn7ZhKDk_6wLjv44rlGgZC8K00nLY_7sa8Dx7QSr6KjGFR5efpXvU_pY21AX8GQfgbVZahTDZ4OspI4reQ3qJhyBBPv6Q1g8wxJCZ4oRc7qrOYsshR_wa82rg.K_Vg9rrkzKBZfyh2IzD8zg4D4BLjkQCxtlXXbXHSIjY&dib_tag=se&hvadid=792675507294&hvdev=c&hvexpln=0&hvlocphy=9189337&hvnetw=g&hvocijid=5079485021638615026--&hvqmt=e&hvrand=5079485021638615026&hvtargid=kwd-1282486741849&hydadcr=2505_13894635_2118612&keywords=6061+aluminum+1%2F8&mcid=1813b33a74b2372fb4954068cd68dfd1&qid=1782243051&sr=8-5 ,21.99,aluminum for plate
12x12 aluminium sheet,19.99,1,https://www.amazon.com/Aluminum-Sheet-Rectangle-Plate-Protective/dp/B0BZPL1D4K/ref=sxbs_pa_sp_search_thematic_btf_sspa?adgrpid=193180835944&content-id=amzn1.sym.e088c82f-9ae7-4132-98f5-9620c07d6e50%3Aamzn1.sym.e088c82f-9ae7-4132-98f5-9620c07d6e50&cv_ct_cx=6061%2Baluminum%2B1%2F8&hvadid=792675507294&hvdev=c&hvexpln=0&hvlocphy=9189337&hvnetw=g&hvocijid=5079485021638615026--&hvqmt=e&hvrand=5079485021638615026&hvtargid=kwd-1282486741849&hydadcr=2505_13894635_2118612&keywords=6061%2Baluminum%2B1%2F8&mcid=1813b33a74b2372fb4954068cd68dfd1&pd_rd_i=B0BZPL1D4K&pd_rd_r=d2b9a414-4798-4420-b701-9de65b845ba2&pd_rd_w=ef12v&pd_rd_wg=qWPh1&pf_rd_p=e088c82f-9ae7-4132-98f5-9620c07d6e50&pf_rd_r=THMVQ7Y6VQE9KN0QJRFP&qid=1782243218&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-49-4c3ee5d8-c4ea-4c3c-8cf4-b8be2ae560c7-spons&xpid=kS1WiJTJL2Bn7&aref=E9K8o8IvEu&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm&th=1 ,19.99,different sized aluminum plate
different sized aluminum sheet,24.99,1,https://www.amazon.com/Tynulox-Aluminum-Protective-Treatable-Industry/dp/B0CW997S6B/ref=sr_1_20?dib=eyJ2IjoiMSJ9.06IWv6mkkuYE7f3Gka-8bvgspVxG_DOFauuZKxjX3qlvqsJA7EL7r5hjdMa381HihnDXfOIUbyUF_ShynB98sO39e1bmVkPVhKk-cqlqcPQjwsBycoYnoidleDwbenH1FFwyQgENEo9q5A9uXnFV3rkOI0Ykzznex0ODLapON7fKqY5O3M8KAZNVSvLHvbW1QbqJYKoJuX82Bn6A-_347jQbGVa1Yqt-jdYvgL9A13KsLyA3P_i2tWmIn0hbrNBiXWpRZEbEJlr75lb2OMm4b2hfwISbMf2Mh20XrmOr0DU.aGqwe2B-EjHndAI2oWp94ovnOZuxq-_b3hGCM1JS3zo&dib_tag=se&keywords=7x16%2Baluminum%2Bplate&qid=1782433503&s=industrial&sr=1-20&th=1 ,24.99,more aluminum for plates
,,,,,
,,,,Grand Total:,
,,,,$471.23,
